Project Name,Category,% of votes received,OP Received,Address
Basic course in crypto literacy,Education,0.0450,"4,503.78",0x0000000000000000000000000000000000000164
cp0x,Education,0.0438,"4,378.20",0x0000000000000000000000000000000000000165
Bored Town,Education,0.0411,"4,109.12",0x0000000000000000000000000000000000000166
Quark ID,Tooling and utilities,0.0403,"4,029.06",0x0000000000000000000000000000000000000167
Launchifi,Infrastructure,0.0342,"3,424.26",0x0000000000000000000000000000000000000168
MarcoV (Optimism Dashboards),Education,0.0324,"3,244.13",0x0000000000000000000000000000000000000169
MetricsDAO,Education,0.0286,"2,859.89",0x0000000000000000000000000000000000000170
Revolte,Education,0.0280,"2,800.97",0x0000000000000000000000000000000000000171
Big Sybil'or,Tooling and utilities,0.0280,"2,796.37",0x0000000000000000000000000000000000000172
Odos,Infrastructure,0.0262,"2,619.19",0x0000000000000000000000000000000000000173
RockX,Infrastructure,0.0255,"2,552.76",0x0000000000000000000000000000000000000174
Infinity Wallet & Web3 Browser,Tooling and utilities,0.0251,"2,508.66",0x0000000000000000000000000000000000000175
DexKit,Tooling and utilities,0.0244,"2,436.18",0x0000000000000000000000000000000000000176
BwareLabs,Infrastructure,0.0222,"2,217.50",0x0000000000000000000000000000000000000177
OAYC,Education,0.0215,"2,148.79",0x0000000000000000000000000000000000000178
OptimismGuru,Education,0.0214,"2,144.20",0x0000000000000000000000000000000000000179
Perpetuals Dune Abstraction,Tooling and utilities,0.0207,"2,069.04",0x0000000000000000000000000000000000000180
raise_exception (rotate.eth),Tooling and utilities,0.0204,"2,044.08",0x0000000000000000000000000000000000000181
Optimism Cult Merch,Education,0.0186,"1,862.82",0x0000000000000000000000000000000000000182
Eneagon by zenbit.eth,Tooling and utilities,0.0154,"1,535.52",0x0000000000000000000000000000000000000183
Layer2DAO,Education,0.0147,"1,465.75",0x0000000000000000000000000000000000000184
Sugar,Tooling and utilities,0.0110,"1,103.26",0x0000000000000000000000000000000000000185
GiveStation,Tooling and utilities,0.0110,"1,101.52",0x0000000000000000000000000000000000000186
Gov,Tooling and utilities,0.0108,"1,079.78",0x0000000000000000000000000000000000000187
ERC-5560: Redeemable NFTs,Tooling and utilities,0.0107,"1,072.54",0x0000000000000000000000000000000000000188
Questbook,Tooling and utilities,0.0101,"1,014.56",0x0000000000000000000000000000000000000189
MUX Protocol,Infrastructure,0.0099,985.61,0x0000000000000000000000000000000000000190
Rigoblock,Tooling and utilities,0.0093,927.59,0x0000000000000000000000000000000000000191
Thumbs Up Finance,Education,0.0072,724.68,0x0000000000000000000000000000000000000192
NFTEarth,Tooling and utilities,0.0059,594.26,0x0000000000000000000000000000000000000193
Ospace,Tooling and utilities,0.0059,594.26,0x0000000000000000000000000000000000000194
